tempo,u1y1,u1y2,u2y1,u2y2,u3y1,u3y3
85,24345.652,0.284345,12136.656,0.142355,118380.62,1.447455
86,24344.418,0.284353,12137.027,0.14235,118391.52,1.4474
87,24343.219,0.284363,12137.455,0.142345,118400.5,1.44735
88,24341.188,0.284372,12137.654,0.1423405,118408.11,1.447295
89,24340.375,0.284381,12137.893,0.142336,118416.93,1.447245
90,24336.572,0.284389,12138.043,0.1423315,118426.22,1.447195
91,24336.797,0.284398,12137.728,0.1423275,118435.8,1.44714
92,24335.471,0.284407,12137.978,0.1423235,118443.49,1.44709
93,24333.254,0.284416,12138.362,0.1423195,118449.87,1.44704
94,24331.025,0.284425,12138.834,0.1423155,118456.48,1.446995
95,24330.814,0.284435,12139.222,0.142312,118465.27,1.446945
96,24330.947,0.284445,12139.208,0.142309,118476.91,1.4469
97,24330.494,0.284454,12139.372,0.1423055,118487.68,1.44685
98,24329.275,0.284464,12139.493,0.1423025,118492.19,1.446805
99,24326.588,0.284474,12139.684,0.1422995,118495.17,1.446755
100,24325.258,0.284484,12139.819,0.1422965,118497.27,1.44671
101,24324.541,0.284493,12139.222,0.1422935,118501.51,1.44666
102,24323.9,0.284503,12139.415,0.142291,118504.91,1.446615
103,24322.344,0.284513,12139.683,0.1422885,118508.82,1.446565
104,24320.273,0.284522,12139.619,0.142286,118512.9,1.44652
105,24317.766,0.284532,12139.754,0.1422835,118520.25,1.44647
106,24317.221,0.284542,12139.762,0.142281,118524.98,1.446425
107,24316.334,0.284551,12139.767,0.1422785,118530.91,1.44638
108,24315.389,0.284561,12139.9,0.142276,118535.4,1.446335
109,24314.631,0.284571,12139.393,0.1422735,118540.52,1.446285
110,24314.912,0.28458,12139.087,0.1422715,118544.07,1.44624
111,24314.254,0.28459,12139.34,0.142269,118548.26,1.446195
112,24313.143,0.284599,12139.244,0.142267,118554.25,1.44615
113,24312.252,0.284608,12139.486,0.142265,118560.53,1.44611
114,24310.578,0.284618,12139.838,0.142263,118564.86,1.446065
115,24310.016,0.284626,12140.274,0.1422615,118569.38,1.44602
116,24307.635,0.284635,12140.206,0.1422595,118570.41,1.44598
117,24306.713,0.284645,12140.164,0.142258,118571.13,1.44594
118,24306.189,0.284654,12140.404,0.1422565,118573.94,1.4459
119,24304.486,0.284662,12140.332,0.142255,118576.76,1.44586
120,24303.719,0.284671,12140.666,0.1422535,118580.84,1.44582
